Word,SUBTLWF,LgSUBTLWF,MorphSp,POS,
recited,0.33,1.26,{<re<^cite^}>ed>,VB,
reciting,0.59,1.49,{<re<^cite^}>ing>,VB|NN,
reckless,4.92,2.4,{^reck^}>less>,JJ,
recklessness,0.29,1.2,{^reck^}>less>>ness>,NN,
reckon,11.69,2.78,{^reckon^},VB,
reckoned,0.75,1.59,{^reckon^}>ed>,VB,
reckoning,1.08,1.75,{^reckon^}>ing>,NN|VB,
reckonings,NULL,NULL,{^reckon^}>ing>>s>,NN,
reckons,0.55,1.46,{^reckon^}>s>,VB,
reclaim,1.39,1.86,{<re<^claim^},VB,
reclaimed,0.25,1.15,{<re<^claim^}>ed>,VB,
reclamation,0.37,1.3,{<re<^claim^}>ation>,NN,
reclassified,0.1,0.78,<re<{^class^}>ify>>ed>,VB|JJ,
reclassification,NULL,NULL,<re<{^class^}>ify>>ation>,NN,
recline,0.16,0.95,{<re<^cline^},VB,
reclining,0.43,1.36,{<re<^cline^}>ing>,VB,
recluse,0.67,1.54,{^recluse^},NN,
recognition,4.57,2.37,{<re<^cogn^>ise>}>ion>,NN,
recognizable,0.61,1.51,{<re<^cogn^>ize>}>able>,JJ,
recognizance,0.35,1.28,{<re<^cogn^>ize>>ance>},NN,
recognize,34.31,3.24,{<re<^cogn^>ize>},VB,
recognized,8.98,2.66,{<re<^cogn^>ize>}>ed>,VB,
recognizes,2,2.01,{<re<^cogn^>ize>}>s>,VB,
recoil,0.43,1.36,{<re<^coil^},VB,
recoiled,0.06,0.6,{<re<^coil^}>ed>,VB,
recognizing,0.8,1.62,{<re<^cogn^>ize>}>ing>,VB,
recollect,1.06,1.74,{<re<^collect^},VB,
recollected,0.06,0.6,{<re<^collect^}>ed>,VB,
recollection,1.57,1.91,{<re<^collect^}>ion>,NN,
recollections,0.35,1.28,{<re<^collect^}>ion>>s>,NN,
recommence,0.04,0.48,<re<{^commence^},VB,
recommend,14,2.85,{<re<^commend^},VB,
reconvened,0.02,0.3,<re<{<con<^vene^}>ed>,VB|JJ,
reconvenes,0.06,0.6,<re<{<con<^vene^}>s>,VB,
recommendation,5.06,2.41,{<re<^commend^}>ation>,NN,
recommendations,1.55,1.9,{<re<^commend^}>ation>>s>,NN,
recommended,5.33,2.44,{<re<^commend^}>ed>,VB|JJ,
recommending,1.59,1.91,{<re<^commend^}>ing>,VB,
recommends,0.55,1.46,{<re<^commend^}>s>,VB,
recompense,0.25,1.15,{<re<^compense^},NN,
reconcile,1.14,1.77,{<re<^concile^},VB,
reconciled,0.67,1.54,{<re<^concile^}>ed>,VB,
reconciles,0.04,0.48,{<re<^concile^}>s>,VB,
recording,14.67,2.87,{^record^}>ing>,NN|VB,
recordings,1.75,1.95,{^record^}>ing>>s>,NN,
reconciliation,1.02,1.72,{<re<^concile^}>ation>,NN,
reconciling,0.16,0.95,{<re<^concile^}>ing>,VB|NN|JJ,
recondition,0.02,0.3,<re<{^condition^},VB,
reconditioning,0.14,0.9,<re<{^condition^}>ing>,VB|NN,
reconnaissance,1.73,1.95,{^reconnaissance^},NN,
reconsider,5.02,2.41,<re<{^consider^},VB,
reconsideration,0.08,0.7,<re<{^consider^}>ation>,NN,
reconsidered,0.47,1.4,<re<{^consider^}>ed>,VB,
reconstitute,0.14,0.9,<re<{<con<^stitute^},VB,
reconstruct,1.14,1.77,<re<{<con<^struct^},VB,
reconstructs,NULL,NULL,<re<{<con<^struct^}>s>,VB,
recontamination,NULL,NULL,<re<{^contamin^>ate>}>ion>,NN,
reconstructed,0.41,1.34,<re<{<con<^struct^}>ed>,JJ,
reconstruction,1.61,1.92,<re<{<con<^struct^}>ion>,NN,
reconverting,NULL,NULL,<re<{<con<^vert^}>ing>,VB|NN|JJ,
recopied,NULL,NULL,<re<{^copy^}>ed>,JJ|VB,
record,85.59,3.64,{^record^},NN,
recorded,8.41,2.63,{^record^}>ed>,VB,
recorder,4.94,2.4,{^record^}>er>,NN,
records,40.51,3.32,{^record^}>s>,NN,
recount,0.73,1.58,<re<{^count^},NN,
recounted,0.06,0.6,{<re<^count^}>ed>,VB,
recounting,0.14,0.9,{<re<^count^}>ing>,VB|NN,
recounts,1.06,1.74,<re<{^count^}>s>,NN,
recoup,0.24,1.11,{^recoup^},VB,
recouped,NULL,NULL,{^recoup^}>ed>,VB,
recourse,0.75,1.59,{<re<^course^},NN,
recover,8.02,2.61,{<re<^cover^},VB,
recoverable,0.1,0.78,{<re<^cover^}>able>,JJ,
recovered,8.78,2.65,<re<{^cover^}>ed>,VB,
recovering,3.04,2.19,{<re<^cover^}>ing>,VB,
recovers,0.55,1.46,<re<{^cover^}>s>,VB,
recovery,9.1,2.67,{<re<^cover^}>y>,NN,
recreate,1.04,1.73,<re<{^create^},VB,
recreated,0.47,1.4,<re<{^create^}>ed>,VB|JJ,
recreates,0.08,0.7,<re<{^create^}>s>,VB,
recreating,0.37,1.3,<re<{^create^}>ing>,VB,
recruit,3.69,2.28,{^recruit^},NN|VB,
recruited,2.73,2.15,{^recruit^}>ed>,VB,
recruiter,0.69,1.56,{^recruit^}>er>,NN,
recreation,1.86,1.98,{<re<^creat^>ion>},NN,
recreational,1.04,1.73,{<re<^creat^>ion>}>al>,JJ,
recriminate,0.04,0.48,{<re<^crimin^>ate>},VB,
recrimination,0.14,0.9,{<re<^crimin^>ate>}>ion>,NN,
recriminations,0.14,0.9,{<re<^crimin^>ate>}>ion>>s>,NN,
recruiting,2.29,2.07,{^recruit^}>ing>,VB|NN,
recruitment,0.82,1.63,{^recruit^}>ment>,NN,
recruits,1.61,1.92,{^recruit^}>s>,NN|VB,
rectal,0.9,1.67,{^rect^>al>},JJ,
rectangle,0.22,1.08,{<rect<^angle^},NN,
rectangular,0.43,1.36,{<rect<^angul^>ar>},JJ,
rectification,0.02,0.3,{^rect^>ify>}>ation>,NN,
rectifier,NULL,NULL,{^rect^>ify>}>er>,NN,
rectify,0.82,1.63,{^rect^>ify>},VB,
rectilinear,NULL,NULL,{<recti<^line^>ar>},JJ,
rectitude,0.16,0.95,{^rect^>itude>},NN,
rector,0.35,1.28,{^rect^>or>},NN,
rector's,NULL,NULL,{^rect^>or>}>'s>,encl,
rectory,0.53,1.45,{^rect^>or>}>y>,NN,
rectum,0.49,1.42,{^rect^>um>},NN,
recumbent,0.02,0.3,{<re<^cumb^>ent>},JJ,
recuperate,0.35,1.28,{^recuper^>ate>},VB,
recuperating,0.47,1.4,{^recuper^>ate>}>ing>,VB|NN,
recuperation,0.08,0.7,{^recuper^>ate>}>ion>,NN,
recur,0.04,0.48,{<re<^cur^},VB,
recurred,NULL,NULL,{<re<^cur^}>ed>,VB,
recurrence,0.29,1.2,{<re<^cur^}>ence>,NN,
recurrent,0.25,1.15,{<re<^cur^}>ent>,JJ,
recurrently,0.02,0.3,{<re<^cur^}>ent>>ly>,RB,
recurring,1.16,1.78,{<re<^cur^}>ing>,VB|NN|JJ,
recursive,0.06,0.6,{<re<^curs^>ive>},JJ,
recusant,NULL,NULL,{<re<^cus^>ant>},NN|JJ,
recycle,0.86,1.65,<re<{^cycle^},VB,
red,148.06,3.88,{^red^},JJ|NN,
redactions,NULL,NULL,{^redact^}>ion>>s>,NN,
redbirds,0.04,0.48,{^red^}{^bird^}>s>,NULL,
redbreast,0.12,0.85,{^red^}{^breast^},NN,
redcoat,0.08,0.7,{^red^}{^coat^},NN,
redcoats,0.37,1.3,{^red^}{^coat^}>s>,NN,
redden,0.04,0.48,{^red^}>en>,VB,
reddened,0.06,0.6,{^red^}>en>>ed>,VB,
redder,0.25,1.15,{^red^}>er>,JJ,
redding,0.39,1.32,{^redding^},NN,
reddish,0.2,1.04,{^red^}>ish>,JJ,
redecorate,1.02,1.72,<re<{^decor^}>ate>,VB,
redecorated,0.35,1.28,<re<{^decor^}>ate>>ed>,VB|JJ,
redecorating,0.73,1.58,<re<{^decor^}>ate>>ing>,VB|NN|JJ,
redecoration,0.12,0.85,<re<{^decor^}>ation>,NN,
rededicate,0.16,0.95,<re<{^dedicate^},VB,
redeem,1.63,1.92,{<re<^deem^},VB,
redeemed,0.63,1.52,{<re<^deem^}>ed>,VB,
redeeming,0.57,1.48,{<re<^deem^}>ing>,VB|JJ|NN,
redefined,0.16,0.95,<re<{^define^}>ed>,VB|JJ,
redefinition,0.04,0.48,<re<{^define^}>ition>,NN,
redemption,2.2,2.05,{<re<^dempt^>ion>},NN,
redemptive,NULL,NULL,{<re<^dempt^>ive>},JJ,
redeploy,0.24,1.11,<re<{^deploy^},VB,
redevelopment,0.25,1.15,<re<{^develop^}>ment>,NN,
redhead,3.65,2.27,{^red^}{^head^},NN,
redheaded,0.88,1.66,{^red^}{^head^}>ed>,JJ,
redheads,0.55,1.46,{^red^}{^head^}>s>,NN,
redirect,0.94,1.69,<re<{^direct^},VB,
redirecting,0.2,1.04,<re<{^direct^}>ing>,VB,
rediscover,0.22,1.08,<re<{^discover^},VB,
rediscovering,0.06,0.6,<re<{^discover^}>ing>,VB,
rediscovers,NULL,NULL,<re<{^discover^}>s>,VB,
redistribute,0.16,0.95,<re<{<dis<^tribute^},VB,
redistributed,0.06,0.6,<re<{<dis<^tribute^}>ed>,VB|JJ,
redistribution,0.2,1.04,<re<{<dis<^tribute^}>ion>,NN,
redistricting,0.08,0.7,<re<{^district^}>ing>,NULL,
redneck,1.76,1.96,{^red^}{^neck^},NN,
redo,1.59,1.91,<re<{^do^},VB,
redolent,NULL,NULL,{<re<^dol^>ent>},JJ,
redouble,0.22,1.08,<re<{^double^},VB,
redoubled,0.14,0.9,<re<{^double^}>ed>,VB,
redoubt,0.18,1,{^redoubt^},NN,
redress,0.22,1.08,{^redress^},NN|VB,
redressed,0.06,0.6,{^redress^}>ed>,VB|JJ,
reds,2.33,2.08,{^red^}>s>,NN,
red's,NULL,NULL,{^red^}>'s>,encl,
redskin,0.25,1.15,{^red^}{^skin^},NN,
reduce,4.29,2.34,{<re<^duce^},VB,
reduced,4.86,2.4,{<re<^duce^}>ed>,VB|JJ,
reducer,0.06,0.6,{<re<^duce^}>er>,NN,
reduces,0.43,1.36,{<re<^duce^}>s>,VB,
reducing,0.98,1.71,{<re<^duce^}>ing>,VB,
reduction,1.73,1.95,{<re<^duct^>ion>},NN,
reductions,0.1,0.78,{<re<^duct^>ion>}>s>,NN,
redundancy,0.63,1.52,{^redund^>ance>}>y>,NN,
redundant,1.45,1.88,{^redund^>ant>},JJ|NN,
reduplicate,NULL,NULL,<re<{<du<^plic^>ate>},VB,
redwing,NULL,NULL,{^red^}{^wing^},NN,
redwood,0.73,1.58,{^red^}{^wood^},NN,
redwoods,0.1,0.78,{^red^}{^wood^}>s>,NN,
reed,9.1,2.67,{^reed^},NN,
reeducate,NULL,NULL,<re<-{^educ^>ate>},VB,
reeducation,0.18,1,<re<-{^educ^>ate>}>ion>,NN,
reedy,0.14,0.9,{^reed^}>y>,JJ,
reef,4,2.31,{^reef^},NN,
reefer,0.96,1.7,{^reef^}>er>,NN,
reefs,0.49,1.42,{^reef^}>s>,NN,
reek,0.9,1.67,{^reek^},NN|VB,
reeked,0.18,1,{^reek^}>ed>,VB|JJ,
reeking,0.45,1.38,{^reek^}>ing>,VB,
reel,3.25,2.22,{^reel^},NN|VB,
reelected,0.37,1.3,<re<{^elect^}>ed>,VB|JJ,
reelection,0.61,1.51,<re<{^elect^}>ion>,NN,
reeled,0.06,0.6,{^reel^}>ed>,VB,
reeling,0.98,1.71,{^reel^}>ing>,VB,
reels,0.73,1.58,{^reel^}>s>,NN|VB,
reemerged,NULL,NULL,<re<{<e<^merge^}>ed>,VB|JJ,
reenact,0.31,1.23,<re<<en<{^act^},VB,
reentered,0.12,0.85,<re<{^enter^}>ed>,VB,
reestablish,0.43,1.36,<re<{<e<^stabl^>ish>},VB,
reevaluation,0.1,0.78,<re<{<e<^valu^>ate>}>ion>,NN,
reexamination,0.02,0.3,<re<{^examine^}>ation>,NN,
reexamine,0.29,1.2,<re<{^examine^},VB,
ref,2.53,2.11,{^ref^},NN|VB,
reface,NULL,NULL,<re<{^face^},VB,
refashion,NULL,NULL,<re<{^fashion^},NN|VB,
refectories,NULL,NULL,{<re<^fect^>ory>}>s>,NN,
refer,7.33,2.57,{<re<^fer^},VB,
referee,3.59,2.26,{<re<^fer^}>ee>,NN,
reference,8.47,2.64,{<re<^fer^}>ence>,NN,
references,4.1,2.32,{<re<^fer^}>ence>>s>,NN|VB,
referendum,0.1,0.78,{<re<^ferendum^},NN,
referent,0.02,0.3,{<re<^fer^}>ent>,NN,
referential,0.06,0.6,{<re<^fer^}>ence>>ial>,JJ,
referral,0.55,1.46,{<re<^fer^}>al>,NN,
referrals,0.29,1.2,{<re<^fer^}>al>>s>,NN,
referred,4.41,2.35,{<re<^fer^}>ed>,VB,
referring,6.73,2.54,{<re<^fer^}>ing>,VB,
refers,1.94,2,{<re<^fer^}>s>,VB,
refill,2.78,2.16,<re<{^fill^},NN,
refilled,0.14,0.9,<re<{^fill^}>ed>,VB|JJ,
refinance,0.02,0.3,<re<{^finance^},VB,
refine,0.43,1.36,{<re<^fine^},VB,
refined,2.02,2.02,{<re<^fine^}>ed>,JJ|VB,
refinement,0.53,1.45,{<re<^fine^}>ment>,NN,
refinements,0.18,1,{<re<^fine^}>ment>>s>,NN,
refiner,0.04,0.48,{<re<^fine^}>er>,NN,
refinery,0.96,1.7,{<re<^fine^}>ery>,NN,
refining,0.25,1.15,{<re<^fine^}>ing>,NN|VB,
refit,0.24,1.11,<re<{^fit^},NN,
reflect,4.18,2.33,{<re<^flect^},VB,
reflectance,0.04,0.48,{<re<^flect^}>ance>,NN,
reflected,1.67,1.93,{<re<^flect^}>ed>,VB|JJ,
reflecting,0.63,1.52,{<re<^flect^}>ing>,VB,
reflection,5.02,2.41,{<re<^flect^}>ion>,NN,
reflections,0.63,1.52,{<re<^flect^}>ion>>s>,NN,
reflective,0.61,1.51,{<re<^flect^}>ive>,JJ,
reflector,0.27,1.18,{<re<^flect^}>or>,NN,
reflectors,0.14,0.9,{<re<^flect^}>or>>s>,NN,
reflects,1.53,1.9,{<re<^flect^}>s>,VB,
reflex,2.27,2.07,{<re<^flex^},NN,
reflexes,2.39,2.09,{<re<^flex^}>s>,NN,
reflexive,0.02,0.3,{<re<^flex^}>ive>,JJ|NN,
reflux,0.35,1.28,<re<{^flux^},NN,
refocusing,NULL,NULL,<re<{^foc^>us>}>ing>,NN|VB,
refolded,0.02,0.3,<re<{^fold^}>ed>,VB|JJ,
reforest,NULL,NULL,<re<{^forest^},VB,
reforestation,NULL,NULL,<re<{^forest^}>ation>,NN,
reform,3.61,2.27,{<re<^form^},NN|VB,
reformed,1.14,1.77,{<re<^form^}>ed>,VB|JJ,
reformation,0.2,1.04,{<re<^form^}>ation>,NN,
reformatory,0.35,1.28,{<re<^form^}>atory>,NN|JJ,
reformer,0.22,1.08,{<re<^form^}>er>,NN,
reformers,0.12,0.85,{<re<^form^}>er>>s>,NN,
reforming,0.24,1.11,{<re<^form^}>ing>,VB,
reformism,NULL,NULL,{<re<^form^}>ism>,NN|JJ,
reforms,0.31,1.23,{<re<^form^}>s>,NN|VB,
reformulated,NULL,NULL,<re<{^form^>ul>>ate>}>ed>,VB|JJ,
refract,0.04,0.48,{<re<^fract^},VB,
refracted,0.1,0.78,{<re<^fract^}>ed>,VB|JJ,
refraction,0.16,0.95,{<re<^fract^}>ion>,NN,
refractive,0.04,0.48,{<re<^fract^}>ive>,JJ,
refractory,0.06,0.6,{<re<^fract^}>ory>,JJ,
refrain,2.04,2.02,{<re<^frain^},VB|NN,
refrained,0.1,0.78,{<re<^frain^}>ed>,VB,
refresh,2.49,2.11,{<re<^fresh^},VB,
refreshed,0.73,1.58,{<re<^fresh^}>ed>,JJ,
refresher,0.29,1.2,{<re<^fresh^}>er>,NN,
refurbishing,0.12,0.85,<re<{^furbish^}>ing>,VB|NN,
refusal,1.29,1.83,{<re<^fuse^}>al>,NN|JJ,
refreshing,3.67,2.27,{<re<^fresh^}>ing>,JJ|VB,
refreshingly,0.18,1,{<re<^fresh^}>ing>>ly>,RB,
refreshment,1,1.72,{<re<^fresh^}>ment>,NN,
refreshments,1.63,1.92,{<re<^fresh^}>ment>>s>,NN,
refrigerant,0.02,0.3,{<re<^friger^>ant>},NN,
refrigerate,0.2,1.04,{<re<^friger^>ate>},VB,
refrigerated,0.41,1.34,{<re<^friger^>ate>}>ed>,VB|JJ,
refrigerators,0.49,1.42,{<re<^friger^>ate>}>or>>s>,NN,
refuel,0.84,1.64,<re<{^fuel^},VB,
refueling,0.39,1.32,<re<{^fuel^}>ing>,NN|VB,
refrigeration,0.33,1.26,{<re<^friger^>ate>}>ion>,NN,
refrigerator,8.37,2.63,{<re<^friger^>ate>}>or>,NN,
refuge,2.45,2.1,{^refuge^},NN,
refugee,1.92,2,{^refuge^}>ee>,NN,
refugees,2.2,2.05,{^refuge^}>ee>>s>,NN,
refund,2.76,2.15,{<re<^fund^},NN,
refunded,0.22,1.08,{<re<^fund^}>ed>,VB,
refunds,0.37,1.3,{<re<^fund^}>s>,NN,
refurbish,0.08,0.7,<re<{^furbish^},VB,
refurbished,0.16,0.95,<re<{^furbish^}>ed>,VB,
refuse,20.98,3.03,{<re<^fuse^},VB,
refused,12.94,2.82,{<re<^fuse^}>ed>,VB,
refuses,4.82,2.39,{<re<^fuse^}>s>,VB,
refusing,3.27,2.23,{<re<^fuse^}>ing>,VB|NN,
refutable,NULL,NULL,{^refute^}>able>,JJ,
refutation,0.02,0.3,{^refute^}>ation>,NN,
refute,0.67,1.54,{^refute^},VB,
refuted,0.14,0.9,{^refute^}>ed>,VB,
regain,2.63,2.13,{<re<^gain^},VB,
rackets,0.96,1.7,{^racket^}>s>,NN,
racking,0.75,1.59,{^rack^}>ing>,VB,
racks,0.86,1.65,{^rack^}>s>,NN|VB,
racquet,0.33,1.26,{^racquet^},NN,
racy,0.96,1.7,{^race^}>y>,JJ,
radar,35.51,3.26,{^radar^},NN,
radial,0.49,1.42,{^radi^>al>},JJ|NN,
radiance,0.24,1.11,{^radi^>ance>},NN,
radiant,2.16,2.05,{^radi^>ant>},JJ,
radiate,0.53,1.45,{^radi^>ate>},VB,
radiated,0.14,0.9,{^radi^>ate>}>ed>,VB,
radiates,0.1,0.78,{^radi^>ate>}>s>,VB,
radiating,0.31,1.23,{^radi^>ate>}>ing>,VB,
radiation,8.22,2.62,{^radi^>ate>}>ion>,NN,
radiations,0.04,0.48,{^radi^>ate>}>ion>>s>,NN,
radiator,2.02,2.02,{^radi^>ate>}>or>,NN,
radiators,0.22,1.08,{^radi^>ate>}>or>>s>,NN,
radical,4.27,2.34,{^radic^>al>},JJ|NN,
radicalism,0.06,0.6,{^radic^>al>}>ism>,NN,
radicalize,0.02,0.3,{^radic^>al>}>ise>,VB,
radically,0.63,1.52,{^radic^>al>}>ly>,RB,
radicals,0.59,1.49,{^radic^>al>}>s>,NN,
radii,0.02,0.3,{^radi^>i>},NN,
radio,77.18,3.6,{^radio^},NN|VB,
radioactive,3.2,2.21,<radio<{^act^}>ive>,JJ,
radioactivity,0.8,1.62,<radio<{^act^}>ive>>ity>,NN,
radiocarbon,0.06,0.6,<radio<{^carbon^},NN,
radiochlorine,NULL,NULL,{^radio^}{^chlor^>ine>},NN|JJ,
radioed,0.76,1.6,{^radio^}>ed>,VB|JJ,
radios,2.06,2.03,{^radio^}>s>,NN|VB,
radish,0.61,1.51,{^radish^},NN,
radium,1.1,1.76,{^radium^},NN|JJ,
radiogram,0.18,1,{<radio<^gram^},NN,
radiograph,0.04,0.48,{<radio<^graph^},NN,
radiography,NULL,NULL,{<radio<^graph^>y>},NN,
radioisotope,0.08,0.7,<radio<{<iso<^tope^},NN,
radiology,2.02,2.02,{<radio<^log^>y>},NN,
radiotherapy,0.02,0.3,<radio<{^therap^>y>},NN,
radius,4.39,2.35,{^radi^>us>},NN,
Rafael,NULL,NULL,{^rafael^},NN,
raffle,1.82,1.97,{^raffle^},NN|VB,
raft,4.71,2.38,{^raft^},NN,
rafter,0.06,0.6,{^rafter^},NN|VB,
raftered,NULL,NULL,{^rafter^}>ed>,VB,
rafters,0.69,1.56,{^rafter^}>s>,NN|VB,
rafts,0.29,1.2,{^raft^}>s>,NN,
rag,4.78,2.39,{^rag^},NN,
ragamuffin,0.06,0.6,{^ragamuffin^},NN,
ragbag,NULL,NULL,{^rag^}{^bag^},NN,
rage,11.31,2.76,{^rage^},NN|VB,
raged,0.37,1.3,{^rage^}>ed>,VB,
rages,0.61,1.51,{^rage^}>s>,VB|NN,
ragged,1.57,1.91,{^rag^}>ed>,JJ,
raggedness,NULL,NULL,{^rag^}>ed>>ness>,NN,
ragging,0.37,1.3,{^rag^}>ing>,VB,
raging,3.24,2.22,{^rage^}>ing>,VB,
rags,3.16,2.21,{^rag^}>s>,NN,
ragtag,0.18,1,{^rag^}{^tag^},NN,
ragtime,0.61,1.51,{^rag^}{^time^},NN,
raid,8.55,2.64,{^raid^},NN|VB,
raided,1.57,1.91,{^raid^}>ed>,VB,
raider,0.65,1.53,{^raid^}>er>,NN,
raiders,1.14,1.77,{^raid^}>er>>s>,NN,
raiding,0.82,1.63,{^raid^}>ing>,VB,
raids,1.2,1.79,{^raid^}>s>,NN|VB,
rail,4.57,2.37,{^rail^},NN|VB,
railhead,0.06,0.6,{^rail^}{^head^},NN,
railing,1.47,1.88,{^rail^}>ing>,NN|VB,
railroad,12.43,2.8,{^rail^}{^road^},NN,
railroader,NULL,NULL,{^rail^}{^road^}>er>,NN,
railroading,0.22,1.08,{^rail^}{^road^}>ing>,VB|NN,
railroads,1.06,1.74,{^rail^}{^road^}>s>,NN,
railroad's,NULL,NULL,{^rail^}{^road^}>'s>,NULL,
rails,1.04,1.73,{^rail^}>s>,NN|VB,
railway,1.57,1.91,{^rail^}{^way^},NN,
railways,0.25,1.15,{^rail^}{^way^}>s>,NN,
rain,48.9,3.4,{^rain^},NN|VB,
rainbow,7.98,2.61,{^rain^}{^bow^},NN,
raincoat,1.65,1.93,{^rain^}{^coat^},NN,
raincoats,0.33,1.26,{^rain^}{^coat^}>s>,NN,
raindrop,0.24,1.11,{^rain^}{^drop^},NN,
raindrops,0.75,1.59,{^rain^}{^drop^}>s>,NN,
rained,2.71,2.14,{^rain^}>ed>,VB,
rainfall,0.33,1.26,{^rain^}{^fall^},NN,
rainier,0.61,1.51,{^rain^}>y>>er>,JJ,
raining,9.78,2.7,{^rain^}>ing>,VB|NN,
rainless,NULL,NULL,{^rain^}>less>,JJ,
rainproof,NULL,NULL,{^rain^}{^proof^},JJ,
rains,5.22,2.43,{^rain^}>s>,NN|VB,
rain's,NULL,NULL,{^rain^}>'s>,encl,
rainstorm,0.8,1.62,{^rain^}{^storm^},NN,
rainwater,0.22,1.08,{^rain^}{^water^},NN,
rainy,3.8,2.29,{^rain^}>y>,JJ,
raise,55.2,3.45,{^raise^},VB|NN,
raised,25.73,3.12,{^raise^}>ed>,VB,
raiser,0.24,1.11,{^raise^}>er>,NN,
raises,1.9,1.99,{^raise^}>s>,VB|NN,
raisin,1.63,1.92,{^raisin^},NN,
raising,11.25,2.76,{^raise^}>ing>,VB|NN,
raj,0.39,1.32,{^raj^},NN,
rajah,0.39,1.32,{^rajah^},NN,
rake,2.98,2.18,{^rake^},VB|NN,
raked,0.37,1.3,{^rake^}>ed>,VB,
rakish,0.06,0.6,{^rake^}>ish>,JJ,
rakishly,0.02,0.3,{^rake^}>ish>>ly>,RB,
rallied,0.39,1.32,{^rally^}>ed>,VB,
rallies,0.8,1.62,{^rally^}>s>,NN|VB,
rally,7.22,2.57,{^rally^},NN|VB,
rallying,0.29,1.2,{^rally^}>ing>,VB,
Ralph,15.35,2.89,{^ralph^},NN,
ram,6.43,2.52,{^ram^},NN|VB,
Ramadan,0.22,1.08,{^ramadan^},NN,
ramble,0.61,1.51,{^ramble^},VB,
rambler,0.2,1.04,{^ramble^}>er>,NN,
rambles,0.08,0.7,{^ramble^}>s>,VB|NN,
rambling,1.35,1.85,{^ramble^}>ing>,NN|VB|JJ,
ramblings,0.37,1.3,{^ramble^}>ing>>s>,NN,
rambunctious,0.27,1.18,{^rambunctious^},JJ,
ramification,NULL,NULL,{^ramify^}>ation>,NN,
ramifications,0.86,1.65,{^ramify^}>ation>>s>,NN,
rammed,0.86,1.65,{^ram^}>ed>,VB,
ramming,0.41,1.34,{^ram^}>ing>,VB,
ramp,2.88,2.17,{^ramp^},NN|VB,
rampage,1.04,1.73,{^ramp^>age>},NN,
rampant,0.96,1.7,{^ramp^>ant>},JJ,
rampart,0.73,1.58,{^rampart^},NN,
ramps,0.41,1.34,{^ramp^}>s>,NN|VB,
ramrod,0.43,1.36,{^ram^}{^rod^},NN|VB,
Ramsey,NULL,NULL,{^ramsey^},NN,
ramshackle,0.04,0.48,{^ramshackle^},JJ,
ran,84.24,3.63,{^ran^},VB,
ranch,17.55,2.95,{^ranch^},NN,
rancher,0.92,1.68,{^ranch^}>er>,NN,
ranchers,0.88,1.66,{^ranch^}>er>>s>,NN,
ranches,0.53,1.45,{^ranch^}>s>,NN,
rancho,0.76,1.6,{^rancho^},NN,
rancid,0.49,1.42,{^rancid^},JJ,
rancidity,NULL,NULL,{^rancid^}>ity>,NN,
rancor,0.18,1,{^rancor^},NN,
rancorous,0.04,0.48,{^rancor^}>ous>,JJ,
rand,2.35,2.08,{^rand^},NN,
Randolph,NULL,NULL,{^randolph^},NN,
random,10.24,2.72,{^random^},JJ|NN,
randomization,0.02,0.3,{^random^}>ise>>ation>,NN,
Randy,11.22,2.76,{^randy^},NN|JJ,
rang,5.43,2.44,{^rang^},VB,
range,22.76,3.07,{^range^},NN|VB,
ranged,0.14,0.9,{^range^}>ed>,VB,
rangelands,NULL,NULL,{^range^}{^land^}>s>,NN,
ranger,7.43,2.58,{^range^}>er>,NN,
rangers,4.78,2.39,{^range^}>er>>s>,NN,
ranges,0.65,1.53,{^range^}>s>,NN|VB,
ranging,0.39,1.32,{^range^}>ing>,VB,
rank,8.49,2.64,{^rank^},NN|VB,
ranked,0.96,1.7,{^rank^}>ed>,VB,
ranker,0.04,0.48,{^rank^}>er>,NN,
rankest,0.04,0.48,{^rank^}>est>,JJ,
ranking,1.39,1.86,{^rank^}>ing>,JJ|NN|VB,
ranks,3.9,2.3,{^rank^}>s>,NN|VB,
ransack,0.27,1.18,{^ransack^},VB,
ransacked,0.65,1.53,{^ransack^}>ed>,VB,
ransacking,0.24,1.11,{^ransack^}>ing>,VB,
ransom,9.76,2.7,{^ransom^},NN,
rant,0.67,1.54,{^rant^},VB,
ranted,0.04,0.48,{^rant^}>ed>,VB,
Raoul,NULL,NULL,{^raoul^},NN,
rap,13.04,2.82,{^rap^},NN|VB,
rapacious,0.1,0.78,{^rapac^>ious>},JJ,
rape,16,2.91,{^rape^},NN|VB,
raped,11.63,2.77,{^rape^}>ed>,VB,
rapes,0.86,1.65,{^rape^}>s>,NN|VB,
Raphael,1.75,1.95,{^raphael^},NN,
Raphael's,NULL,NULL,{^raphael^}>'s>,encl,
rapid,4.37,2.35,{^rapid^},JJ|RB,
rapidity,0.1,0.78,{^rapid^}>ity>,NN,
rapidly,3.71,2.28,{^rapid^}>ly>,RB,
rapier,0.24,1.11,{^rapier^},NN,
raping,1.59,1.91,{^rape^}>ing>,VB,
rapist,3.18,2.21,{^rape^}>ist>,NN,
rapists,0.96,1.7,{^rape^}>ist>>s>,NN,
rapped,0.25,1.15,{^rap^}>ed>,VB,
rapping,0.94,1.69,{^rap^}>ing>,VB|NN,
rapport,0.63,1.52,{^rapport^},NN,
rapprochement,0.1,0.78,{^rapprochement^},NN,
rapscallion,0.04,0.48,{^rapscallion^},NN,
rapt,0.24,1.11,{^rapt^},JJ,
